Filename,50A_4_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,Â°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,30.846,0.0154987,250716,0.0383246,1.61647e9,6.19506e7,1.61766e9
6.28319,16.3065,33.223,0.0155136,249883,0.0391556,1.60950e9,6.30209e7,1.61073e9
6.28319,24.5920,35.774,0.0155414,248436,0.0396353,1.59729e9,6.33092e7,1.59855e9
6.28319,32.8752,38.531,0.0155784,246649,0.0405058,1.58197e9,6.40791e7,1.58327e9
6.28319,41.1605,41.337,0.0156228,244361,0.0419671,1.56275e9,6.55842e7,1.56413e9
6.28319,52.3862,45.204,0.0157034,240424,0.0447428,1.52951e9,6.84345e7,1.53104e9
6.28319,60.6352,48.043,0.0157719,236947,0.0477483,1.50063e9,7.16523e7,1.50234e9
6.28319,68.9203,50.858,0.0158454,233384,0.0511811,1.47096e9,7.52852e7,1.47288e9
6.28319,77.2038,53.630,0.0159288,229141,0.0542078,1.43642e9,7.78652e7,1.43853e9
6.28319,85.4890,56.404,0.0160281,224178,0.0581279,1.39630e9,8.11642e7,1.39866e9
6.28319,93.7725,59.228,0.0161302,218902,0.0600866,1.35465e9,8.13965e7,1.35710e9
6.28319,103.396,62.447,0.0162509,212380,0.0663641,1.30402e9,8.65399e7,1.30689e9
6.28319,117.391,67.160,0.0164565,201867,0.0744261,1.22328e9,9.10443e7,1.22667e9
6.28319,125.664,69.946,0.0165796,195390,0.0800733,1.17473e9,9.40646e7,1.17849e9
6.28319,133.948,72.704,0.0167156,188262,0.0842773,1.12229e9,9.45835e7,1.12627e9
6.28319,142.233,75.485,0.0168400,181554,0.0887244,1.07389e9,9.52805e7,1.07811e9
6.28319,150.516,78.263,0.0169651,174954,0.0941244,1.02672e9,9.66394e7,1.03126e9
6.28319,158.802,81.075,0.0170905,168263,0.0981492,9.79835e8,9.61700e7,9.84543e8
6.28319,167.085,83.812,0.0172068,161920,0.104272,9.35946e8,9.75926e7,9.41021e8
6.28319,175.370,86.621,0.0173177,155771,0.105784,8.94501e8,9.46239e7,8.99492e8
6.28319,183.654,89.384,0.0174089,150399,0.108349,8.58891e8,9.30596e7,8.63918e8
6.28319,191.939,92.190,0.0175084,145158,0.114055,8.23735e8,9.39508e7,8.29076e8
6.28319,200.222,94.956,0.0175962,139989,0.114921,7.90363e8,9.08291e7,7.95565e8
6.28319,208.507,97.719,0.0176802,135093,0.117687,7.58853e8,8.93068e7,7.64090e8
6.28319,216.791,100.474,0.0177558,130651,0.118013,7.30753e8,8.62383e7,7.35824e8
6.28319,225.076,103.231,0.0178270,126495,0.121203,7.04416e8,8.53774e7,7.09571e8
6.28319,233.359,105.992,0.0178981,122508,0.124236,6.79254e8,8.43876e7,6.84476e8
6.28319,241.645,108.801,0.0179617,118676,0.126443,6.55499e8,8.28829e7,6.60718e8
6.28319,249.928,111.565,0.0180249,114925,0.128578,6.32381e8,8.13105e7,6.37587e8
6.28319,258.213,114.317,0.0180881,111277,0.130262,6.10044e8,7.94654e7,6.15197e8
6.28319,266.497,117.095,0.0181492,107687,0.132671,5.88188e8,7.80352e7,5.93341e8
6.28319,274.782,119.840,0.0182066,104305,0.133828,5.67833e8,7.59920e7,5.72895e8
6.28319,283.065,122.665,0.0182640,100859,0.137453,5.47084e8,7.51983e7,5.52228e8
6.28319,291.351,125.411,0.0183195,97633.3,0.139286,5.27852e8,7.35226e7,5.32948e8
6.28319,299.636,128.181,0.0183734,94440.2,0.141928,5.08905e8,7.22280e7,5.14006e8
6.28319,307.919,130.588,0.0184285,91202.1,0.146220,4.89689e8,7.16021e7,4.94896e8
6.28319,316.205,130.318,0.0184533,89394.1,0.143730,4.79508e8,6.89198e7,4.84435e8

