Filename,50G_4_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,Â°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.052,0.0163218,231873,0.0420165,1.41938e9,5.96375e7,1.42064e9
6.28319,16.3065,33.190,0.0163273,231375,0.0418252,1.41587e9,5.92190e7,1.41710e9
6.28319,24.5920,35.793,0.0163480,230098,0.0416463,1.40628e9,5.85665e7,1.40750e9
6.28319,32.8752,38.489,0.0163773,228457,0.0432775,1.39365e9,6.03139e7,1.39496e9
6.28319,41.1605,41.262,0.0164136,226437,0.0440416,1.37823e9,6.06996e7,1.37957e9
6.28319,49.4458,44.138,0.0164591,223812,0.0458430,1.35839e9,6.22726e7,1.35981e9
6.28319,57.7292,46.963,0.0165134,220671,0.0481994,1.33477e9,6.43351e7,1.33632e9
6.28319,66.0145,49.770,0.0165775,216975,0.0514499,1.30712e9,6.72513e7,1.30885e9
6.28319,74.2978,52.581,0.0166476,213108,0.0541592,1.27824e9,6.92282e7,1.28011e9
6.28319,82.5832,55.365,0.0167322,207977,0.0583984,1.24086e9,7.24645e7,1.24298e9
6.28319,90.8665,58.142,0.0168146,203186,0.0614132,1.20612e9,7.40716e7,1.20839e9
6.28319,99.1518,60.976,0.0169114,197594,0.0666639,1.16582e9,7.77181e7,1.16841e9
6.28319,109.376,64.392,0.0170365,190369,0.0731653,1.11444e9,8.15382e7,1.11742e9
6.28319,117.659,67.158,0.0171404,184056,0.0776312,1.07059e9,8.31114e7,1.07381e9
6.28319,125.942,69.946,0.0172503,177243,0.0806250,1.02415e9,8.25721e7,1.02747e9
6.28319,134.227,72.723,0.0173567,170983,0.0866222,9.81439e8,8.50144e7,9.85115e8
6.28319,142.510,75.548,0.0174605,164379,0.0908524,9.37571e8,8.51806e7,9.41433e8
6.28319,150.796,78.321,0.0175652,158050,0.0955310,8.95711e8,8.55682e7,8.99789e8
6.28319,159.079,81.111,0.0176572,152230,0.0995959,8.57894e8,8.54428e7,8.62139e8
6.28319,167.365,83.871,0.0177454,146711,0.102915,8.22410e8,8.46381e7,8.26754e8
6.28319,175.648,86.674,0.0178319,141163,0.107418,7.87101e8,8.45491e7,7.91629e8
6.28319,183.933,89.481,0.0179097,136150,0.109972,7.55651e8,8.31004e7,7.60206e8
6.28319,192.217,92.223,0.0179836,131346,0.113054,7.25742e8,8.20484e7,7.30365e8
6.28319,200.502,94.999,0.0180502,126931,0.115311,6.98583e8,8.05546e7,7.03212e8
6.28319,208.785,97.757,0.0181157,122772,0.117966,6.73045e8,7.93963e7,6.77712e8
6.28319,217.071,100.558,0.0181749,118778,0.120665,6.48820e8,7.82900e7,6.53526e8
6.28319,225.354,103.313,0.0182337,114878,0.123490,6.25283e8,7.72161e7,6.30033e8
6.28319,233.639,106.085,0.0182831,111351,0.122946,6.04487e8,7.43191e7,6.09038e8
6.28319,241.923,108.814,0.0183375,107750,0.126267,5.82962e8,7.36090e7,5.87591e8
6.28319,250.208,111.577,0.0183900,104393,0.129828,5.62935e8,7.30846e7,5.67659e8
6.28319,258.491,114.331,0.0184417,100902,0.130512,5.42541e8,7.08081e7,5.47142e8
6.28319,266.777,117.132,0.0184874,97778.1,0.132046,5.24339e8,6.92367e7,5.28891e8
6.28319,275.060,119.944,0.0185360,94381.4,0.135444,5.04571e8,6.83411e7,5.09178e8
6.28319,283.345,122.653,0.0185833,91352.6,0.139428,4.86874e8,6.78836e7,4.91583e8
6.28319,291.629,125.418,0.0186311,88024.4,0.140845,4.67841e8,6.58929e7,4.72459e8
6.28319,299.914,128.175,0.0186731,85127.0,0.142867,4.51298e8,6.44755e7,4.55881e8
6.28319,308.197,130.591,0.0187186,82083.3,0.147393,4.33824e8,6.39426e7,4.38511e8
6.28319,316.482,130.324,0.0187407,80177.8,0.143128,4.23512e8,6.06165e7,4.27828e8

