Filename,60B_1_A
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,Â°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,30.040,0.0160718,207047,0.0520934,1.28652e9,6.70192e7,1.28826e9
6.28319,16.3065,32.992,0.0161049,205498,0.0518300,1.27429e9,6.60462e7,1.27600e9
6.28319,24.5920,35.909,0.0161473,203396,0.0536487,1.25782e9,6.74805e7,1.25963e9
6.28319,32.8752,38.783,0.0162005,200836,0.0548194,1.23783e9,6.78572e7,1.23969e9
6.28319,41.1605,41.676,0.0162585,198114,0.0577281,1.21650e9,7.02261e7,1.21852e9
6.28319,49.4438,44.476,0.0163265,194969,0.0609324,1.19198e9,7.26300e7,1.19419e9
6.28319,67.8698,50.608,0.0164868,186889,0.0685097,1.13092e9,7.74788e7,1.13357e9
6.28319,76.1138,53.380,0.0165751,182620,0.0734551,1.09881e9,8.07131e7,1.10177e9
6.28319,84.3992,56.157,0.0166744,177915,0.0772214,1.06382e9,8.21500e7,1.06699e9
6.28319,92.6827,58.903,0.0167721,173176,0.0826297,1.02902e9,8.50275e7,1.03253e9
6.28319,105.886,63.366,0.0169501,164364,0.0901516,9.65777e8,8.70664e7,9.69694e8
6.28319,114.147,66.149,0.0170599,158935,0.0972352,9.27253e8,9.01617e7,9.31626e8
6.28319,122.432,68.915,0.0171740,153232,0.101751,8.87649e8,9.03193e7,8.92232e8
6.28319,130.718,71.686,0.0172876,147485,0.106016,8.48370e8,8.99406e7,8.53124e8
6.28319,139.001,74.452,0.0173946,141945,0.110587,8.11086e8,8.96955e7,8.16030e8
6.28319,147.286,77.244,0.0174898,137019,0.113978,7.78382e8,8.87182e7,7.83421e8
6.28319,155.570,79.984,0.0175793,132243,0.118584,7.47027e8,8.85852e7,7.52261e8
6.28319,163.855,82.717,0.0176705,127571,0.121005,7.16715e8,8.67258e7,7.21943e8
6.28319,172.139,85.470,0.0177505,123258,0.125589,6.88979e8,8.65285e7,6.94392e8
6.28319,180.424,88.271,0.0178306,118979,0.127516,6.61915e8,8.44046e7,6.67275e8
6.28319,194.868,93.068,0.0179632,111803,0.133793,6.16905e8,8.25377e7,6.22402e8
6.28319,203.112,95.874,0.0180312,108021,0.136641,5.93563e8,8.11054e7,5.99079e8
6.28319,211.395,98.625,0.0181031,104074,0.139034,5.69420e8,7.91686e7,5.74897e8
6.28319,219.681,101.419,0.0181709,100426,0.142944,5.47116e8,7.82067e7,5.52677e8
6.28319,227.964,104.173,0.0182366,96617.4,0.144652,5.24342e8,7.58472e7,5.29800e8
6.28319,236.249,106.930,0.0182993,93180.3,0.147504,5.03751e8,7.43054e7,5.09202e8
6.28319,244.533,109.686,0.0183623,89645.4,0.149830,4.82815e8,7.23401e7,4.88205e8
6.28319,252.818,112.511,0.0184229,86103.9,0.151012,4.62136e8,6.97880e7,4.67376e8
6.28319,261.101,115.302,0.0184822,82781.0,0.155353,4.42587e8,6.87570e7,4.47896e8
6.28319,269.387,118.064,0.0185416,79419.0,0.157838,4.23091e8,6.67797e7,4.28329e8
6.28319,277.670,120.813,0.0185939,76349.5,0.160332,4.05438e8,6.50049e7,4.10616e8
6.28319,285.955,123.575,0.0186514,73091.7,0.162629,3.86802e8,6.29053e7,3.91884e8
6.28319,294.239,126.369,0.0186997,70263.9,0.165608,3.70699e8,6.13907e7,3.75748e8
6.28319,302.524,129.155,0.0187512,67261.1,0.169162,3.53679e8,5.98289e7,3.58703e8
6.28319,310.807,130.119,0.0187985,64530.9,0.171631,3.38329e8,5.80676e7,3.43276e8
6.28319,319.093,130.262,0.0188182,63003.4,0.167510,3.30199e8,5.53119e7,3.34800e8

