Filename,60C_1_A
Instrument name,RSAG2
Operator,
rundate,5/30/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,Â°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,30.990,0.0155656,213438,0.0466782,1.36972e9,6.39361e7,1.37121e9
6.28319,16.3065,33.278,0.0155782,212899,0.0472957,1.36512e9,6.45643e7,1.36665e9
6.28319,24.5918,35.777,0.0156052,211625,0.0475782,1.35459e9,6.44490e7,1.35612e9
6.28319,32.8753,38.492,0.0156456,209987,0.0491742,1.34053e9,6.59193e7,1.34215e9
6.28319,41.1607,41.274,0.0157021,207591,0.0518099,1.32029e9,6.84043e7,1.32206e9
6.28319,49.4438,44.127,0.0157658,204900,0.0541274,1.29774e9,7.02434e7,1.29964e9
6.28319,57.7278,46.983,0.0158410,201729,0.0580617,1.27132e9,7.38151e7,1.27346e9
6.28319,66.0127,49.838,0.0159267,198005,0.0606945,1.24095e9,7.53187e7,1.24323e9
6.28319,74.2978,52.650,0.0160221,193928,0.0648040,1.20785e9,7.82732e7,1.21038e9
6.28319,82.5813,55.438,0.0161323,189214,0.0709159,1.16995e9,8.29679e7,1.17289e9
6.28319,99.8792,61.229,0.0163612,178834,0.0803631,1.08952e9,8.75575e7,1.09304e9
6.28319,108.125,64.023,0.0164871,173333,0.0873278,1.04734e9,9.14618e7,1.05133e9
6.28319,116.411,66.795,0.0166117,167861,0.0924635,1.00621e9,9.30376e7,1.01050e9
6.28319,124.694,69.544,0.0167439,161954,0.0986550,9.62568e8,9.49621e7,9.67241e8
6.28319,138.890,74.355,0.0169477,152374,0.104811,8.94184e8,9.37201e7,8.99082e8
6.28319,148.867,77.657,0.0170851,146044,0.111004,8.49584e8,9.43069e7,8.54802e8
6.28319,157.145,80.477,0.0171981,140976,0.118533,8.14021e8,9.64886e7,8.19719e8
6.28319,165.431,83.304,0.0172972,136177,0.119974,7.81669e8,9.37798e7,7.87275e8
6.28319,173.714,86.072,0.0173886,131784,0.124097,7.52108e8,9.33345e7,7.57878e8
6.28319,181.999,88.837,0.0174744,127625,0.127287,7.24511e8,9.22208e7,7.30356e8
6.28319,190.283,91.604,0.0175641,123378,0.130503,6.96539e8,9.09001e7,7.02445e8
6.28319,198.568,94.376,0.0176519,119064,0.135586,6.68393e8,9.06248e7,6.74508e8
6.28319,206.851,97.151,0.0177361,115026,0.137729,6.42474e8,8.84872e7,6.48539e8
6.28319,215.137,99.911,0.0178194,110946,0.141720,6.16453e8,8.73639e7,6.22612e8
6.28319,223.422,102.669,0.0178965,107042,0.145810,5.91859e8,8.62987e7,5.98117e8
6.28319,231.705,105.441,0.0179688,103328,0.146160,5.68994e8,8.31643e7,5.75040e8
6.28319,239.991,108.270,0.0180458,99556.8,0.151729,5.45446e8,8.27597e7,5.51688e8
6.28319,254.877,113.200,0.0181700,93121.5,0.155581,5.06409e8,7.87876e7,5.12502e8
6.28319,263.137,115.999,0.0182383,89692.3,0.158821,4.85692e8,7.71381e7,4.91779e8
6.28319,271.422,118.734,0.0183053,86197.5,0.162332,4.64805e8,7.54529e7,4.70889e8
6.28319,279.706,121.540,0.0183635,83122.0,0.163844,4.46692e8,7.31877e7,4.52648e8
6.28319,287.991,124.306,0.0184258,79894.5,0.167282,4.27658e8,7.15394e7,4.33601e8
6.28319,296.835,127.255,0.0184911,76449.6,0.169146,4.07649e8,6.89524e7,4.13440e8
6.28319,305.120,129.997,0.0185496,73293.1,0.172007,3.89400e8,6.69795e7,3.95119e8
6.28319,313.405,130.186,0.0185914,70949.4,0.170920,3.76170e8,6.42951e7,3.81625e8
6.28319,321.688,130.220,0.0186088,69659.2,0.168255,3.69145e8,6.21104e7,3.74334e8

