Filename,60F_1_A
Instrument name,RSAG2
Operator,
rundate,5/30/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,Â°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,27.678,0.0191557,261773,0.0471828,1.36504e9,6.44061e7,1.36655e9
6.28319,16.3083,30.341,0.0191645,260133,0.0474361,1.35585e9,6.43160e7,1.35737e9
6.28319,24.5918,33.111,0.0191813,257616,0.0487859,1.34146e9,6.54444e7,1.34306e9
6.28319,32.8773,35.902,0.0192063,254493,0.0508339,1.32334e9,6.72705e7,1.32505e9
6.28319,41.1625,38.714,0.0192296,250756,0.0529284,1.30219e9,6.89227e7,1.30401e9
6.28319,49.4458,41.456,0.0192613,246399,0.0556804,1.27727e9,7.11188e7,1.27925e9
6.28319,57.8857,44.227,0.0192910,241881,0.0582250,1.25173e9,7.28821e7,1.25385e9
6.28319,66.1685,46.949,0.0193223,236876,0.0620939,1.22356e9,7.59755e7,1.22592e9
6.28319,74.4518,49.668,0.0193558,231732,0.0648929,1.19471e9,7.75279e7,1.19722e9
6.28319,82.7372,52.451,0.0193884,226386,0.0679890,1.16495e9,7.92038e7,1.16764e9
6.28319,97.8955,57.456,0.0194557,215052,0.0755301,1.10220e9,8.32496e7,1.10534e9
6.28319,106.139,60.251,0.0194932,208166,0.0804893,1.06444e9,8.56763e7,1.06789e9
6.28319,114.423,63.014,0.0195312,201204,0.0839885,1.02655e9,8.62186e7,1.03017e9
6.28319,122.708,65.844,0.0195683,194066,0.0897720,9.87761e8,8.86733e7,9.91733e8
6.28319,130.991,68.656,0.0196072,186356,0.0949694,9.46186e8,8.98588e7,9.50443e8
6.28319,139.277,71.415,0.0196419,178631,0.0996684,9.04958e8,9.01957e7,9.09441e8
6.28319,147.560,74.160,0.0196721,171410,0.105495,8.66528e8,9.14144e7,8.71337e8
6.28319,155.845,76.963,0.0197034,164280,0.109844,8.28783e8,9.10367e7,8.33768e8
6.28319,164.129,79.805,0.0197239,157790,0.114107,7.94838e8,9.06967e7,7.99996e8
6.28319,172.414,82.545,0.0197447,151460,0.117173,7.61882e8,8.92716e7,7.67094e8
6.28319,180.697,85.318,0.0197617,145413,0.120825,7.30523e8,8.82656e7,7.35836e8
6.28319,188.983,88.092,0.0197772,139980,0.124589,7.02353e8,8.75057e7,7.07783e8
6.28319,197.266,90.898,0.0197943,134345,0.128220,6.73193e8,8.63167e7,6.78704e8
6.28319,205.551,93.662,0.0198060,129015,0.131324,6.45848e8,8.48152e7,6.51394e8
6.28319,213.835,96.411,0.0198217,123926,0.134715,6.19609e8,8.34707e7,6.25206e8
6.28319,222.120,99.168,0.0198305,118842,0.138317,5.93636e8,8.21102e7,5.99287e8
6.28319,230.403,101.941,0.0198419,113923,0.141678,5.68475e8,8.05403e7,5.74152e8
6.28319,238.689,104.707,0.0198459,109427,0.142644,5.45860e8,7.78635e7,5.51385e8
6.28319,246.972,107.502,0.0198557,104768,0.147071,5.22030e8,7.67753e7,5.27646e8
6.28319,255.258,110.250,0.0198634,100478,0.149732,5.00267e8,7.49058e7,5.05843e8
6.28319,263.541,113.045,0.0198696,96138.1,0.154029,4.78205e8,7.36575e7,4.83844e8
6.28319,271.826,115.799,0.0198733,92083.0,0.155145,4.57873e8,7.10368e7,4.63351e8
6.28319,280.109,118.560,0.0198760,88298.4,0.158652,4.38759e8,6.96101e7,4.44247e8
6.28319,288.395,121.373,0.0198804,84598.2,0.160725,4.20144e8,6.75278e7,4.25536e8
6.28319,296.678,124.140,0.0198837,81074.6,0.164134,4.02361e8,6.60413e7,4.07745e8
6.28319,304.964,126.886,0.0198874,77641.9,0.167984,3.85014e8,6.46763e7,3.90408e8
6.28319,313.247,129.638,0.0198890,74409.9,0.169627,3.68858e8,6.25683e7,3.74126e8
6.28319,321.532,130.064,0.0198901,71347.9,0.172544,3.53488e8,6.09922e7,3.58712e8
6.28319,329.815,130.196,0.0198863,69638.3,0.168975,3.45288e8,5.83451e7,3.50183e8

