Filename,60I_1_A
Instrument name,RSAG2
Operator,
rundate,5/30/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,Â°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,29.027,0.0156018,209433,0.0463617,1.34092e9,6.21676e7,1.34236e9
6.28319,16.3083,30.797,0.0156087,209065,0.0453898,1.33803e9,6.07330e7,1.33941e9
6.28319,24.5917,33.014,0.0156268,208264,0.0463503,1.33131e9,6.17064e7,1.33273e9
6.28319,32.8772,35.553,0.0156528,207078,0.0464517,1.32152e9,6.13869e7,1.32295e9
6.28319,41.1603,38.163,0.0156952,205281,0.0484974,1.30638e9,6.33562e7,1.30792e9
6.28319,49.4457,40.900,0.0157474,203119,0.0504461,1.28822e9,6.49854e7,1.28985e9
6.28319,57.7292,43.751,0.0158094,200540,0.0531710,1.26669e9,6.73513e7,1.26848e9
6.28319,66.0143,46.629,0.0158810,197628,0.0566127,1.24245e9,7.03382e7,1.24443e9
6.28319,77.8877,50.657,0.0159960,192709,0.0607912,1.20251e9,7.31022e7,1.20473e9
6.28319,86.1528,53.426,0.0160836,189075,0.0661528,1.17301e9,7.75976e7,1.17557e9
6.28319,94.4382,56.190,0.0161851,184841,0.0701341,1.13925e9,7.99001e7,1.14205e9
6.28319,102.722,58.965,0.0162877,180385,0.0750951,1.10438e9,8.29334e7,1.10749e9
6.28319,122.843,65.764,0.0165697,167865,0.0877048,1.00921e9,8.85128e7,1.01309e9
6.28319,131.121,68.546,0.0166924,162236,0.0937090,9.67673e8,9.06796e7,9.71912e8
6.28319,139.406,71.337,0.0168163,156611,0.0969469,9.26956e8,8.98655e7,9.31302e8
6.28319,147.690,74.126,0.0169375,151117,0.102724,8.87531e8,9.11708e7,8.92202e8
6.28319,155.975,76.949,0.0170517,145955,0.108863,8.50933e8,9.26349e7,8.55960e8
6.28319,164.852,79.936,0.0171678,140493,0.112490,8.13225e8,9.14798e7,8.18354e8
6.28319,173.104,82.693,0.0172655,135875,0.116173,7.81715e8,9.08142e7,7.86973e8
6.28319,181.389,85.479,0.0173597,131386,0.118269,7.51607e8,8.88918e7,7.56846e8
6.28319,189.673,88.233,0.0174495,127088,0.121963,7.22960e8,8.81747e7,7.28318e8
6.28319,197.958,90.985,0.0175386,122856,0.125376,6.95045e8,8.71417e7,7.00486e8
6.28319,206.241,93.818,0.0176281,118666,0.129594,6.67581e8,8.65147e7,6.73164e8
6.28319,214.527,96.581,0.0177123,114549,0.133867,6.41004e8,8.58093e7,6.46722e8
6.28319,222.810,99.355,0.0177937,110541,0.135463,6.15611e8,8.33927e7,6.21233e8
6.28319,231.095,102.134,0.0178730,106632,0.139261,5.90903e8,8.22900e7,5.96606e8
6.28319,239.378,104.879,0.0179523,102826,0.142774,5.67023e8,8.09562e7,5.72773e8
6.28319,247.664,107.703,0.0180282,98956.9,0.145262,5.43199e8,7.89064e7,5.48901e8
6.28319,255.947,110.483,0.0180993,95201.9,0.145899,5.20488e8,7.59384e7,5.25998e8
6.28319,264.233,113.251,0.0181715,91738.4,0.151172,4.99177e8,7.54617e7,5.04849e8
6.28319,272.516,115.996,0.0182385,88225.8,0.153651,4.78123e8,7.34641e7,4.83734e8
6.28319,287.829,121.143,0.0183578,82142.9,0.157057,4.42037e8,6.94251e7,4.47456e8
6.28319,296.072,123.873,0.0184190,79023.6,0.162072,4.23507e8,6.86385e7,4.29033e8
6.28319,304.355,126.614,0.0184797,75951.0,0.165025,4.05513e8,6.69197e7,4.10997e8
6.28319,312.641,129.374,0.0185365,72926.0,0.167739,3.87997e8,6.50823e7,3.93418e8
6.28319,320.924,130.039,0.0185878,70207.5,0.169556,3.72393e8,6.31416e7,3.77708e8
6.28319,329.209,130.205,0.0186147,68487.1,0.166000,3.62952e8,6.02501e7,3.67919e8

